"x1_1"	"x1_2"	"x1_3"	"x1_4"	"y1"	"y2"	"y3"	"y4"	"y5"	"y6"	"y7"	"y8"	"y9"	"y10"	"y11"	"y12"
"798"	0.6	0.23	0.18	0.5	0	1	0	0	0	0	0	0	0	0	0	0
"4077"	0.76	0.05	0.71	0.32	0	0	0	0	0	0	0	0	1	0	0	0
"3072"	0.12	0.34	0.94	0.89	0	0	0	0	0	0	1	0	0	0	0	0
"214"	0.8	0.35	0.28	0.78	1	0	0	0	0	0	0	0	0	0	0	0
"4165"	0.8	0.03	0.73	0.07	0	0	0	0	0	0	0	0	1	0	0	0
"4976"	0.58	0.14	0.44	0.12	0	0	0	0	0	0	0	0	0	1	0	0
"2031"	0.7	0.76	0.13	0.2	0	0	0	0	1	0	0	0	0	0	0	0
"4449"	0.9	0.22	0.81	0.35	0	0	0	0	0	0	0	0	1	0	0	0
"2489"	0.72	0.82	0.07	0.22	0	0	0	0	1	0	0	0	0	0	0	0
"4972"	0.49	0.18	0.57	0.25	0	0	0	0	0	0	0	0	0	1	0	0
"4348"	0.64	0	0.57	0.11	0	0	0	0	0	0	0	0	1	0	0	0
"189"	0.65	0.35	0.26	0.68	1	0	0	0	0	0	0	0	0	0	0	0
"4860"	0.89	0.49	0.8	0.57	0	0	0	0	0	0	0	0	0	1	0	0
"1669"	0.62	0.87	0.95	0.6	0	0	0	1	0	0	0	0	0	0	0	0
"5029"	0.46	0.81	0.39	0.91	0	0	0	0	0	0	0	0	0	0	1	0
"4317"	0.85	0.22	0.96	0.19	0	0	0	0	0	0	0	0	1	0	0	0
"1928"	0.47	0.84	0.71	0.6	0	0	0	1	0	0	0	0	0	0	0	0
"3522"	0.29	0.29	0.63	0.69	0	0	0	0	0	0	0	1	0	0	0	0
"2625"	0.75	0.64	0.35	0.32	0	0	0	0	0	1	0	0	0	0	0	0
"3323"	0.27	0.18	0.88	0.86	0	0	0	0	0	0	1	0	0	0	0	0
"1059"	0.34	0.81	0.75	0.46	0	0	1	0	0	0	0	0	0	0	0	0
"3852"	0.56	0.55	0.86	0.98	0	0	0	0	0	0	0	1	0	0	0	0
"4717"	0.87	0.53	0.87	0.63	0	0	0	0	0	0	0	0	0	1	0	0
"5443"	0.41	0.86	0.17	0.99	0	0	0	0	0	0	0	0	0	0	1	0
"4621"	0.58	0.15	0.44	0.12	0	0	0	0	0	0	0	0	0	1	0	0
"4807"	0.6	0.37	0.74	0.26	0	0	0	0	0	0	0	0	0	1	0	0
"3170"	0.42	0.01	0.95	0.84	0	0	0	0	0	0	1	0	0	0	0	0
"1436"	0.25	0.78	0.81	0.39	0	0	1	0	0	0	0	0	0	0	0	0
"5064"	0.32	0.72	0.08	0.79	0	0	0	0	0	0	0	0	0	0	1	0
"2681"	0.7	0.76	0.44	0.38	0	0	0	0	0	1	0	0	0	0	0	0
"1140"	0.11	0.62	0.57	0.09	0	0	1	0	0	0	0	0	0	0	0	0
"242"	0.65	0.38	0.29	0.76	1	0	0	0	0	0	0	0	0	0	0	0
"4363"	0.87	0.1	0.85	0.05	0	0	0	0	0	0	0	0	1	0	0	0
"4356"	0.83	0.18	0.97	0.42	0	0	0	0	0	0	0	0	1	0	0	0
"5406"	0.2	0.78	0.3	0.75	0	0	0	0	0	0	0	0	0	0	1	0
"1277"	0.47	0.75	0.89	0.38	0	0	1	0	0	0	0	0	0	0	0	0
"4169"	0.75	0.23	0.63	0.21	0	0	0	0	0	0	0	0	1	0	0	0
"3304"	0.26	0.33	0.73	0.82	0	0	0	0	0	0	1	0	0	0	0	0
"3126"	0.01	0.09	0.74	0.72	0	0	0	0	0	0	1	0	0	0	0	0
"2907"	0.52	0.53	0.27	0.3	0	0	0	0	0	1	0	0	0	0	0	0
"1500"	0.22	0.7	0.83	0.16	0	0	1	0	0	0	0	0	0	0	0	0
"3185"	0.44	0.16	0.88	0.93	0	0	0	0	0	0	1	0	0	0	0	0
"1298"	0.21	0.6	0.57	0.12	0	0	1	0	0	0	0	0	0	0	0	0
"5397"	0.04	0.95	0.28	0.9	0	0	0	0	0	0	0	0	0	0	1	0
"4498"	0.74	0.1	0.71	0.13	0	0	0	0	0	0	0	0	1	0	0	0
"2743"	0.52	0.5	0.15	0.26	0	0	0	0	0	1	0	0	0	0	0	0
"5410"	0.1	0.81	0.16	0.8	0	0	0	0	0	0	0	0	0	0	1	0
"323"	0.82	0.38	0.25	0.77	1	0	0	0	0	0	0	0	0	0	0	0
"570"	0.68	0.43	0.4	0.57	0	1	0	0	0	0	0	0	0	0	0	0
"2533"	0.7	0.58	0.3	0.26	0	0	0	0	0	1	0	0	0	0	0	0
"142"	0.98	0.29	0.15	0.92	1	0	0	0	0	0	0	0	0	0	0	0
"2787"	0.42	0.44	0.16	0.09	0	0	0	0	0	1	0	0	0	0	0	0
"2010"	0.79	0.77	0.18	0.05	0	0	0	0	1	0	0	0	0	0	0	0
"5331"	0.33	0.74	0.09	0.7	0	0	0	0	0	0	0	0	0	0	1	0
"5518"	0.25	0.64	0.34	0.57	0	0	0	0	0	0	0	0	0	0	0	1
"3027"	0.15	0.3	0.7	0.83	0	0	0	0	0	0	1	0	0	0	0	0
"5645"	0.29	0.71	0.3	0.56	0	0	0	0	0	0	0	0	0	0	0	1
"129"	0.47	0.04	0.05	0.55	1	0	0	0	0	0	0	0	0	0	0	0
"5524"	0.22	0.46	0.14	0.54	0	0	0	0	0	0	0	0	0	0	0	1
"3497"	0.4	0.45	0.96	0.81	0	0	0	0	0	0	1	0	0	0	0	0
"377"	0.89	0.35	0.47	0.76	1	0	0	0	0	0	0	0	0	0	0	0
"1308"	0.13	0.6	0.74	0.15	0	0	1	0	0	0	0	0	0	0	0	0
"2382"	0.82	0.88	0.03	0.26	0	0	0	0	1	0	0	0	0	0	0	0
"2081"	0.9	0.77	0.28	0.4	0	0	0	0	1	0	0	0	0	0	0	0
"2380"	0.95	0.83	0.03	0	0	0	0	0	1	0	0	0	0	0	0	0
"3178"	0.24	0.21	0.76	0.7	0	0	0	0	0	0	1	0	0	0	0	0
"552"	0.49	0.05	0.09	0.34	0	1	0	0	0	0	0	0	0	0	0	0
"1523"	0.11	0.49	0.55	0.24	0	0	0	1	0	0	0	0	0	0	0	0
"3816"	0.22	0.23	0.55	0.45	0	0	0	0	0	0	0	1	0	0	0	0
"2483"	0.98	0.96	0.46	0.12	0	0	0	0	1	0	0	0	0	0	0	0
"4499"	0.88	0.38	0.93	0.49	0	0	0	0	0	0	0	0	1	0	0	0
"2314"	0.99	0.99	0.27	0.35	0	0	0	0	1	0	0	0	0	0	0	0
"1345"	0.23	0.76	0.69	0.21	0	0	1	0	0	0	0	0	0	0	0	0
"903"	0.46	0.21	0.09	0.54	0	1	0	0	0	0	0	0	0	0	0	0
"1239"	0.23	0.6	0.74	0.17	0	0	1	0	0	0	0	0	0	0	0	0
"5837"	0.19	0.52	0.07	0.42	0	0	0	0	0	0	0	0	0	0	0	1
"2844"	0.78	0.72	0.51	0.39	0	0	0	0	0	1	0	0	0	0	0	0
"4861"	0.48	0.08	0.43	0.12	0	0	0	0	0	0	0	0	0	1	0	0
"5541"	0.46	0.76	0.43	0.89	0	0	0	0	0	0	0	0	0	0	0	1
"1514"	0.65	0.91	0.91	0.69	0	0	0	1	0	0	0	0	0	0	0	0
"4867"	0.47	0.15	0.37	0.05	0	0	0	0	0	0	0	0	0	1	0	0
"5652"	0.36	0.76	0.35	0.67	0	0	0	0	0	0	0	0	0	0	0	1
"2344"	0.59	0.72	0.22	0.16	0	0	0	0	1	0	0	0	0	0	0	0
"4224"	0.76	0.38	0.75	0.38	0	0	0	0	0	0	0	0	1	0	0	0
"1395"	0.15	0.9	0.83	0.15	0	0	1	0	0	0	0	0	0	0	0	0
"4121"	0.95	0.05	0.84	0.12	0	0	0	0	0	0	0	0	1	0	0	0
"1587"	0.03	0.21	0.3	0.05	0	0	0	1	0	0	0	0	0	0	0	0
"3464"	0.44	0.27	0.9	0.88	0	0	0	0	0	0	1	0	0	0	0	0
"3051"	0.32	0.1	0.85	0.75	0	0	0	0	0	0	1	0	0	0	0	0
"5844"	0.28	0.55	0.21	0.65	0	0	0	0	0	0	0	0	0	0	0	1
"963"	0.58	0.23	0.35	0.51	0	1	0	0	0	0	0	0	0	0	0	0
"1397"	0.07	0.82	0.79	0.16	0	0	1	0	0	0	0	0	0	0	0	0
"2933"	0.54	0.58	0.28	0.34	0	0	0	0	0	1	0	0	0	0	0	0
"3131"	0.17	0.04	0.56	0.58	0	0	0	0	0	0	1	0	0	0	0	0
"4835"	0.76	0.54	0.89	0.47	0	0	0	0	0	0	0	0	0	1	0	0
"1762"	0.17	0.57	0.42	0.19	0	0	0	1	0	0	0	0	0	0	0	0
"2606"	0.58	0.68	0.37	0.34	0	0	0	0	0	1	0	0	0	0	0	0
"3694"	0.01	0.13	0.42	0.35	0	0	0	0	0	0	0	1	0	0	0	0
"2015"	0.82	0.93	0.33	0.25	0	0	0	0	1	0	0	0	0	0	0	0
"777"	0.33	0.11	0.01	0.24	0	1	0	0	0	0	0	0	0	0	0	0
"2581"	0.6	0.46	0.15	0.21	0	0	0	0	0	1	0	0	0	0	0	0
"2152"	0.83	0.92	0.43	0.27	0	0	0	0	1	0	0	0	0	0	0	0
"4705"	0.85	0.59	0.94	0.64	0	0	0	0	0	0	0	0	0	1	0	0
"5441"	0.3	0.99	0.6	0.96	0	0	0	0	0	0	0	0	0	0	1	0
"3939"	0.52	0.62	0.85	0.83	0	0	0	0	0	0	0	1	0	0	0	0
"2827"	0.62	0.63	0.42	0.28	0	0	0	0	0	1	0	0	0	0	0	0
"361"	0.97	0.47	0.57	0.92	1	0	0	0	0	0	0	0	0	0	0	0
"898"	0.76	0.63	0.49	0.81	0	1	0	0	0	0	0	0	0	0	0	0
"737"	0.39	0.04	0.18	0.4	0	1	0	0	0	0	0	0	0	0	0	0
"3858"	0.37	0.27	0.67	0.58	0	0	0	0	0	0	0	1	0	0	0	0
"5034"	0.22	0.94	0.27	0.94	0	0	0	0	0	0	0	0	0	0	1	0
"3781"	0.55	0.57	0.79	0.8	0	0	0	0	0	0	0	1	0	0	0	0
"3943"	0.07	0.08	0.28	0.42	0	0	0	0	0	0	0	1	0	0	0	0
"5785"	0.18	0.48	0.17	0.59	0	0	0	0	0	0	0	0	0	0	0	1
"4411"	0.97	0.41	0.89	0.06	0	0	0	0	0	0	0	0	1	0	0	0
"5482"	0	0.84	0.41	0.82	0	0	0	0	0	0	0	0	0	0	1	0
"4689"	0.57	0.24	0.69	0.32	0	0	0	0	0	0	0	0	0	1	0	0
"4951"	0.61	0.25	0.52	0.17	0	0	0	0	0	0	0	0	0	1	0	0
"1852"	0.63	0.83	0.91	0.54	0	0	0	1	0	0	0	0	0	0	0	0
"4880"	0.84	0.59	0.87	0.55	0	0	0	0	0	0	0	0	0	1	0	0
"801"	0.49	0.28	0.26	0.52	0	1	0	0	0	0	0	0	0	0	0	0
"5519"	0.42	0.76	0.32	0.62	0	0	0	0	0	0	0	0	0	0	0	1
"3728"	0.07	0.06	0.29	0.35	0	0	0	0	0	0	0	1	0	0	0	0
"5133"	0.09	0.94	0.34	0.86	0	0	0	0	0	0	0	0	0	0	1	0
"3931"	0.44	0.33	0.64	0.7	0	0	0	0	0	0	0	1	0	0	0	0
"2747"	0.51	0.4	0.19	0.11	0	0	0	0	0	1	0	0	0	0	0	0
"3448"	0.36	0.22	0.99	0.92	0	0	0	0	0	0	1	0	0	0	0	0
"306"	0.87	0.39	0.25	0.76	1	0	0	0	0	0	0	0	0	0	0	0
"902"	0.77	0.39	0.41	0.73	0	1	0	0	0	0	0	0	0	0	0	0
"4872"	0.36	0.07	0.39	0.02	0	0	0	0	0	0	0	0	0	1	0	0
"765"	0.49	0.14	0.01	0.35	0	1	0	0	0	0	0	0	0	0	0	0
"1071"	0.56	0.93	0.86	0.43	0	0	1	0	0	0	0	0	0	0	0	0
"2913"	0.91	0.98	0.58	0.62	0	0	0	0	0	1	0	0	0	0	0	0
"891"	0.41	0.17	0.21	0.55	0	1	0	0	0	0	0	0	0	0	0	0
"2300"	0.64	0.65	0.25	0.29	0	0	0	0	1	0	0	0	0	0	0	0
"5128"	0.01	0.71	0.18	0.77	0	0	0	0	0	0	0	0	0	0	1	0
"1465"	0.2	0.82	0.73	0.08	0	0	1	0	0	0	0	0	0	0	0	0
"3838"	0.06	0.02	0.37	0.51	0	0	0	0	0	0	0	1	0	0	0	0
"1372"	0.29	0.93	0.9	0.18	0	0	1	0	0	0	0	0	0	0	0	0
"1808"	0.52	0.87	0.98	0.64	0	0	0	1	0	0	0	0	0	0	0	0
"1371"	0.38	0.88	0.94	0.38	0	0	1	0	0	0	0	0	0	0	0	0
"2560"	0.38	0.4	0.04	0.06	0	0	0	0	0	1	0	0	0	0	0	0
"3001"	0.19	0.04	0.99	0.86	0	0	0	0	0	0	1	0	0	0	0	0
"5560"	0.26	0.52	0.23	0.66	0	0	0	0	0	0	0	0	0	0	0	1
"4115"	0.94	0.17	0.93	0.1	0	0	0	0	0	0	0	0	1	0	0	0
"1121"	0.3	0.79	0.66	0.18	0	0	1	0	0	0	0	0	0	0	0	0
"444"	0.84	0.41	0.45	0.9	1	0	0	0	0	0	0	0	0	0	0	0
"1342"	0.23	0.69	0.74	0.16	0	0	1	0	0	0	0	0	0	0	0	0
"1492"	0.31	0.94	0.94	0.35	0	0	1	0	0	0	0	0	0	0	0	0
"955"	0.64	0.35	0.44	0.66	0	1	0	0	0	0	0	0	0	0	0	0
"2897"	0.42	0.5	0.1	0.12	0	0	0	0	0	1	0	0	0	0	0	0
"1493"	0.35	0.77	0.84	0.24	0	0	1	0	0	0	0	0	0	0	0	0
"1176"	0.07	0.56	0.53	0.17	0	0	1	0	0	0	0	0	0	0	0	0
"3828"	0.04	0.03	0.25	0.39	0	0	0	0	0	0	0	1	0	0	0	0
"478"	0.61	0.08	0.12	0.71	1	0	0	0	0	0	0	0	0	0	0	0
"4302"	0.89	0.42	0.77	0.4	0	0	0	0	0	0	0	0	1	0	0	0
"3342"	0.21	0.12	0.84	0.75	0	0	0	0	0	0	1	0	0	0	0	0
"5922"	0.61	0.98	0.56	0.89	0	0	0	0	0	0	0	0	0	0	0	1
"2525"	0.6	0.53	0.25	0.3	0	0	0	0	0	1	0	0	0	0	0	0
"5821"	0.65	0.98	0.67	0.96	0	0	0	0	0	0	0	0	0	0	0	1
"4991"	0.47	0.18	0.6	0.25	0	0	0	0	0	0	0	0	0	1	0	0
"330"	0.74	0.14	0.1	0.88	1	0	0	0	0	0	0	0	0	0	0	0
"21"	0.93	0.28	0.34	0.98	1	0	0	0	0	0	0	0	0	0	0	0
"547"	0.43	0.15	0.24	0.48	0	1	0	0	0	0	0	0	0	0	0	0
"179"	0.7	0.33	0.23	0.76	1	0	0	0	0	0	0	0	0	0	0	0
"2044"	0.88	0.74	0.38	0.22	0	0	0	0	1	0	0	0	0	0	0	0
"3545"	0.09	0.15	0.52	0.4	0	0	0	0	0	0	0	1	0	0	0	0
"2302"	0.95	0.95	0.46	0.33	0	0	0	0	1	0	0	0	0	0	0	0
"5929"	0.28	0.57	0.23	0.58	0	0	0	0	0	0	0	0	0	0	0	1
"2281"	0.68	0.68	0.29	0.26	0	0	0	0	1	0	0	0	0	0	0	0
"2703"	0.35	0.45	0.04	0.03	0	0	0	0	0	1	0	0	0	0	0	0
"4482"	0.95	0.11	0.84	0.06	0	0	0	0	0	0	0	0	1	0	0	0
"5762"	0.61	0.81	0.61	0.87	0	0	0	0	0	0	0	0	0	0	0	1
"888"	0.54	0.32	0.35	0.56	0	1	0	0	0	0	0	0	0	0	0	0
"4783"	0.33	0.03	0.41	0.06	0	0	0	0	0	0	0	0	0	1	0	0
"3568"	0.33	0.33	0.57	0.56	0	0	0	0	0	0	0	1	0	0	0	0
"3025"	0.45	0.34	0.88	0.9	0	0	0	0	0	0	1	0	0	0	0	0
"386"	0.8	0.11	0.09	0.85	1	0	0	0	0	0	0	0	0	0	0	0
"2049"	0.74	0.72	0.21	0.15	0	0	0	0	1	0	0	0	0	0	0	0
"3832"	0.02	0.01	0.35	0.48	0	0	0	0	0	0	0	1	0	0	0	0
"715"	0.81	0.41	0.55	0.82	0	1	0	0	0	0	0	0	0	0	0	0
"967"	0.69	0.35	0.46	0.63	0	1	0	0	0	0	0	0	0	0	0	0
"1450"	0.18	0.6	0.53	0.2	0	0	1	0	0	0	0	0	0	0	0	0
"1865"	0.09	0.36	0.5	0.2	0	0	0	1	0	0	0	0	0	0	0	0
"3401"	0.49	0.42	0.85	0.94	0	0	0	0	0	0	1	0	0	0	0	0
"4980"	0.62	0.27	0.68	0.27	0	0	0	0	0	0	0	0	0	1	0	0
"3343"	0	0.44	0.79	0.9	0	0	0	0	0	0	1	0	0	0	0	0
"395"	0.8	0.16	0.21	0.93	1	0	0	0	0	0	0	0	0	0	0	0
"304"	0.71	0.17	0.21	0.69	1	0	0	0	0	0	0	0	0	0	0	0
"3410"	0.3	0.32	0.84	0.82	0	0	0	0	0	0	1	0	0	0	0	0
"1497"	0.51	0.88	0.78	0.39	0	0	1	0	0	0	0	0	0	0	0	0
"3020"	0.23	0.2	0.72	0.84	0	0	0	0	0	0	1	0	0	0	0	0
"3475"	0.32	0.01	0.85	0.87	0	0	0	0	0	0	1	0	0	0	0	0
"3319"	0.07	0.13	0.73	0.8	0	0	0	0	0	0	1	0	0	0	0	0
"5098"	0.31	0.78	0.18	0.81	0	0	0	0	0	0	0	0	0	0	1	0
"2889"	0.74	0.69	0.43	0.42	0	0	0	0	0	1	0	0	0	0	0	0
"1519"	0.35	0.56	0.69	0.22	0	0	0	1	0	0	0	0	0	0	0	0
"4116"	0.86	0.38	0.86	0	0	0	0	0	0	0	0	0	1	0	0	0
"293"	0.86	0.1	0.04	0.89	1	0	0	0	0	0	0	0	0	0	0	0
"5506"	0.26	0.56	0.23	0.65	0	0	0	0	0	0	0	0	0	0	0	1
"5959"	0.54	0.81	0.5	0.96	0	0	0	0	0	0	0	0	0	0	0	1
"3681"	0.27	0.35	0.58	0.61	0	0	0	0	0	0	0	1	0	0	0	0
"1413"	0.28	0.79	0.88	0.31	0	0	1	0	0	0	0	0	0	0	0	0
"1988"	0.2	0.46	0.58	0.15	0	0	0	1	0	0	0	0	0	0	0	0
"5017"	0.03	0.55	0.12	0.6	0	0	0	0	0	0	0	0	0	0	1	0
"402"	0.61	0.12	0.1	0.7	1	0	0	0	0	0	0	0	0	0	0	0
"870"	0.93	0.59	0.62	0.92	0	1	0	0	0	0	0	0	0	0	0	0
"4907"	0.45	0.23	0.46	0.15	0	0	0	0	0	0	0	0	0	1	0	0
"3682"	0.32	0.23	0.57	0.55	0	0	0	0	0	0	0	1	0	0	0	0
"3537"	0.19	0.16	0.58	0.48	0	0	0	0	0	0	0	1	0	0	0	0
"2871"	0.97	0.84	0.56	0.5	0	0	0	0	0	1	0	0	0	0	0	0
"1981"	0.16	0.52	0.45	0.11	0	0	0	1	0	0	0	0	0	0	0	0
"3924"	0.11	0.12	0.33	0.42	0	0	0	0	0	0	0	1	0	0	0	0
"4320"	0.9	0.51	0.98	0.48	0	0	0	0	0	0	0	0	1	0	0	0
"671"	0.3	0.12	0.04	0.38	0	1	0	0	0	0	0	0	0	0	0	0
"759"	0.57	0.4	0.29	0.61	0	1	0	0	0	0	0	0	0	0	0	0
"1288"	0.17	0.75	0.61	0.29	0	0	1	0	0	0	0	0	0	0	0	0
"1750"	0.62	0.94	0.8	0.66	0	0	0	1	0	0	0	0	0	0	0	0
"4114"	0.9	0.37	0.98	0.17	0	0	0	0	0	0	0	0	1	0	0	0
"159"	0.98	0.47	0.55	0.87	1	0	0	0	0	0	0	0	0	0	0	0
"2022"	0.99	0.99	0.03	0.22	0	0	0	0	1	0	0	0	0	0	0	0
"4279"	0.84	0.45	0.98	0.44	0	0	0	0	0	0	0	0	1	0	0	0
"1915"	0.34	0.47	0.61	0.27	0	0	0	1	0	0	0	0	0	0	0	0
"3971"	0.42	0.47	0.79	0.7	0	0	0	0	0	0	0	1	0	0	0	0
"1792"	0.44	0.75	0.81	0.56	0	0	0	1	0	0	0	0	0	0	0	0
"5980"	0.15	0.56	0.24	0.48	0	0	0	0	0	0	0	0	0	0	0	1
"1554"	0.09	0.43	0.41	0.08	0	0	0	1	0	0	0	0	0	0	0	0
"533"	0.61	0.4	0.26	0.69	0	1	0	0	0	0	0	0	0	0	0	0
"526"	0.45	0.19	0.07	0.51	0	1	0	0	0	0	0	0	0	0	0	0
"1142"	0.31	0.88	0.8	0.17	0	0	1	0	0	0	0	0	0	0	0	0
"3730"	0.07	0.06	0.29	0.41	0	0	0	0	0	0	0	1	0	0	0	0
"3818"	0.54	0.52	0.85	0.93	0	0	0	0	0	0	0	1	0	0	0	0
"398"	0.95	0.3	0.34	0.81	1	0	0	0	0	0	0	0	0	0	0	0
"5919"	0.53	0.76	0.5	0.77	0	0	0	0	0	0	0	0	0	0	0	1
"2607"	0.94	0.84	0.54	0.52	0	0	0	0	0	1	0	0	0	0	0	0
"4488"	0.76	0.28	0.73	0.05	0	0	0	0	0	0	0	0	1	0	0	0
"954"	0.59	0.35	0.39	0.7	0	1	0	0	0	0	0	0	0	0	0	0
"1107"	0.15	0.83	0.92	0.1	0	0	1	0	0	0	0	0	0	0	0	0
"5850"	0.07	0.41	0.13	0.37	0	0	0	0	0	0	0	0	0	0	0	1
"5723"	0.63	0.87	0.61	0.92	0	0	0	0	0	0	0	0	0	0	0	1
"3036"	0.12	0.01	0.95	0.95	0	0	0	0	0	0	1	0	0	0	0	0
